filename, language, Python, C++, JSON with Comments, Markdown, XML, C, comment, blank, total
w:\LeetCode\.idea\LeetCode.iml, XML, 0, 0, 0, 0, 12, 0, 0, 0, 12
w:\LeetCode\.idea\deployment.xml, XML, 0, 0, 0, 0, 14, 0, 0, 0, 14
w:\LeetCode\.idea\inspectionProfiles\Project_Default.xml, XML, 0, 0, 0, 0, 19, 0, 0, 0, 19
w:\LeetCode\.idea\misc.xml, XML, 0, 0, 0, 0, 7, 0, 0, 0, 7
w:\LeetCode\.idea\modules.xml, XML, 0, 0, 0, 0, 8, 0, 0, 0, 8
w:\LeetCode\.idea\vcs.xml, XML, 0, 0, 0, 0, 6, 0, 0, 0, 6
w:\LeetCode\.idea\workspace.xml, XML, 0, 0, 0, 0, 564, 0, 0, 0, 564
w:\LeetCode\132模式.py, Python, 38, 0, 0, 0, 0, 0, 9, 14, 61
w:\LeetCode\3sum.cpp, C++, 0, 158, 0, 0, 0, 0, 27, 21, 206
w:\LeetCode\CVTE笔试\第一题.py, Python, 3, 0, 0, 0, 0, 0, 4, 2, 9
w:\LeetCode\CVTE笔试\第三题.py, Python, 0, 0, 0, 0, 0, 0, 4, 2, 6
w:\LeetCode\CVTE笔试\第二题.py, Python, 0, 0, 0, 0, 0, 0, 4, 2, 6
w:\LeetCode\LeetCode.code-workspace, JSON with Comments, 0, 0, 90, 0, 0, 0, 0, 0, 90
w:\LeetCode\LeetCodeC++\LeetCodeC++\LeetCodeC++.cpp, C++, 0, 10, 0, 0, 0, 0, 59, 8, 77
w:\LeetCode\LeetCodeC++\LeetCodeC++\LeetCodeC++.vcxproj, XML, 0, 0, 0, 0, 159, 0, 0, 0, 159
w:\LeetCode\LeetCodeC++\LeetCodeC++\test.c, C, 0, 0, 0, 0, 0, 5, 0, 1, 6
w:\LeetCode\README.md, Markdown, 0, 0, 0, 3, 0, 0, 0, 1, 4
w:\LeetCode\Temp.py, Python, 68, 0, 0, 0, 0, 0, 10, 6, 84
w:\LeetCode\compress-string-lcci.cpp, C++, 0, 53, 0, 0, 0, 0, 32, 18, 103
w:\LeetCode\duplicat-number.cpp, C++, 0, 43, 0, 0, 0, 0, 20, 11, 74
w:\LeetCode\duplicate-string.cpp, C++, 0, 58, 0, 0, 0, 0, 11, 9, 78
w:\LeetCode\find-words-that-can-be-formed-by-characters.cpp, C++, 0, 53, 0, 0, 0, 0, 24, 20, 97
w:\LeetCode\findMedianSortedArrays.cpp, C++, 0, 97, 0, 0, 0, 0, 36, 19, 152
w:\LeetCode\handsomeZhan.cpp, C++, 0, 50, 0, 0, 0, 0, 85, 17, 152
w:\LeetCode\leetcode-cn_回文素数.py, Python, 84, 0, 0, 0, 0, 0, 47, 9, 140
w:\LeetCode\linked-list-cycle.cpp, C++, 0, 63, 0, 0, 0, 0, 28, 23, 114
w:\LeetCode\longest-increasing-subsequence.cpp, C++, 0, 60, 0, 0, 0, 0, 22, 15, 97
w:\LeetCode\longest-palindromic-substring.cpp, C++, 0, 37, 0, 0, 0, 0, 5, 9, 51
w:\LeetCode\majority-element.cpp, C++, 0, 43, 0, 0, 0, 0, 31, 20, 94
w:\LeetCode\match-string.cpp, C++, 0, 27, 0, 0, 0, 0, 4, 9, 40
w:\LeetCode\max-points-on-a-line.cpp, C++, 0, 81, 0, 0, 0, 0, 42, 19, 142
w:\LeetCode\reaching-points.cpp, C++, 0, 88, 0, 0, 0, 0, 57, 25, 170
w:\LeetCode\rectangle-overlap.cpp, C++, 0, 54, 0, 0, 0, 0, 21, 17, 92
w:\LeetCode\search-in-rotated-sorted-array.cpp, C++, 0, 128, 0, 0, 0, 0, 21, 27, 176
w:\LeetCode\string-filter.cpp, C++, 0, 36, 0, 0, 0, 0, 8, 7, 51
w:\LeetCode\string-to-integer-atoi.cpp, C++, 0, 207, 0, 0, 0, 0, 19, 27, 253
w:\LeetCode\tempCodeRunnerFile.cpp, C++, 0, 0, 0, 0, 0, 0, 20, 0, 20
w:\LeetCode\test-cpprestsdk.cpp, C++, 0, 73, 0, 0, 0, 0, 107, 17, 197
w:\LeetCode\tmp.cpp, C++, 0, 248, 0, 0, 0, 0, 51, 41, 340
w:\LeetCode\usn.cpp, C++, 0, 361, 0, 0, 0, 0, 46, 65, 472
w:\LeetCode\zui-xiao-de-kge-shu-lcof.cpp, C++, 0, 74, 0, 0, 0, 0, 9, 20, 103
w:\LeetCode\华为面试1.py, Python, 20, 0, 0, 0, 0, 0, 6, 3, 29
w:\LeetCode\华为面试2.py, Python, 84, 0, 0, 0, 0, 0, 16, 5, 105
w:\LeetCode\各位相加.py, Python, 38, 0, 0, 0, 0, 0, 9, 9, 56
w:\LeetCode\回文素数.py, Python, 49, 0, 0, 0, 0, 0, 31, 11, 91
w:\LeetCode\字符串转换整数 (atoi).py, Python, 82, 0, 0, 0, 0, 0, 10, 11, 103
w:\LeetCode\宝石与石头.py, Python, 32, 0, 0, 0, 0, 0, 6, 10, 48
w:\LeetCode\最近回文数.py, Python, 95, 0, 0, 0, 0, 0, 27, 13, 135
w:\LeetCode\有序数组的平方.py, Python, 33, 0, 0, 0, 0, 0, 5, 12, 50
w:\LeetCode\独特的电子邮件地址.py, Python, 41, 0, 0, 0, 0, 0, 11, 11, 63
w:\LeetCode\索引处的解码字符串.py, Python, 39, 0, 0, 0, 0, 0, 12, 11, 62
w:\LeetCode\翻转字符串里的单词.py, Python, 34, 0, 0, 0, 0, 0, 9, 9, 52
w:\LeetCode\装饰器.py, Python, 70, 0, 0, 0, 0, 0, 72, 15, 157
w:\LeetCode\超级回文数.py, Python, 43, 0, 0, 0, 0, 0, 14, 9, 66
w:\LeetCode\转换成小写字母.py, Python, 36, 0, 0, 0, 0, 0, 4, 12, 52
w:\LeetCode\键盘行.py, Python, 57, 0, 0, 0, 0, 0, 6, 15, 78
w:\LeetCode\验证IP地址.py, Python, 85, 0, 0, 0, 0, 0, 11, 11, 107
Total, -, 1031, 2102, 90, 3, 789, 5, 1112, 668, 5800
